id;scenario_id;region;year;input_energy_vector;output_energy_vector;technology;technology_type;parameter_name;value;unit;tags;method;source;comment
1;2;"[""BB""]";2020;water;electricity;hydro turbine;run-of-river;installed capacity;3.57804;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
2;2;"[""BB""]";2020;air;electricity;wind turbine;onshore;installed capacity;5687.974;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
3;2;"[""BB""]";2020;solar radiation;electricity;photovoltaics;utility;installed capacity;2440.196;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
4;2;"[""BB""]";2020;solar radiation;electricity;photovoltaics;rooftop;installed capacity;295.908;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
5;2;"[""BB""]";2020;light oil;electricity;chp;gas;installed capacity;0.214;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
6;2;"[""BB""]";2020;light oil;electricity;generator;gas;installed capacity;33.829;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
7;2;"[""BB""]";2020;natural gas;electricity;chp;combined cycle;installed capacity;108.581;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
8;2;"[""BB""]";2020;natural gas;electricity;chp;combustion engine;installed capacity;50.374;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
9;2;"[""BB""]";2020;natural gas;electricity;chp;gas;installed capacity;46.404;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
10;2;"[""BB""]";2020;natural gas;electricity;generator;combined cycle;installed capacity;4.71;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
11;2;"[""BB""]";2020;natural gas;electricity;generator;combustion engine;installed capacity;7.723;MW;;"{""value"": ""Capacity based on the date of commissioning and the remaining life of the technology""}";MaStR2021;
